ticker,LatestQuarter,AssetType,Name,CIK,Exchange,Currency,Country,Sector,Industry,FiscalYearEnd,MarketCapitalization,EBITDA,PERatio,PEGRatio,BookValue,DividendPerShare,DividendYield,EPS,RevenuePerShareTTM,ProfitMargin,OperatingMarginTTM,ReturnOnAssetsTTM,ReturnOnEquityTTM,RevenueTTM,GrossProfitTTM,DilutedEPSTTM,QuarterlyEarningsGrowthYOY,QuarterlyRevenueGrowthYOY,AnalystTargetPrice,TrailingPE,ForwardPE,PriceToSalesRatioTTM,PriceToBookRatio,EVToRevenue,EVToEBITDA,Beta,52WeekHigh,52WeekLow,50DayMovingAverage,200DayMovingAverage,SharesOutstanding,DividendDate,ExDividendDate,Block
CDZI,2022-03-31,Common Stock,Cadiz Inc,727273.0,NASDAQ,USD,USA,ENERGY & TRANSPORTATION,WATER SUPPLY,December,106110000.0,-12340000.0,,0.0,0.899,0.0,0.0,-0.8340000000000001,0.013,0.0,-31.92,-0.108,-1.918,567000.0,564000.0,-0.8340000000000001,0.0,0.022,15.0,-,-,187.14,2.282,272.86,-,0.113,14.69,1.66,2.042,4.553,50770000.0,,,
GIA-WS,0000-00-00,Common Stock,GIA-WS,1844505.0,NYSE,USD,USA,REAL ESTATE & CONSTRUCTION,BLANK CHECKS,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-,-,-,-,-,-,,9.96,9.8,0.0,0.0,0.0,,,1.0
ENSC,2022-03-31,Common Stock,Ensysce Biosciences Inc,1716947.0,NASDAQ,USD,USA,REAL ESTATE & CONSTRUCTION,BLANK CHECKS,December,18110000.0,,,,0.046,0.0,0.0,-1.331,0.1689999999999999,0.0,-6.22,-2.226,0.0,3883700.0,-1158883.0,-1.331,0.0,1.4069999999999998,7.5,-,-,4.663,13.08,-,-,0.706,17.12,0.455,0.902,2.103,34561000.0,,,
BTCM,2022-03-31,Common Stock,BIT Mining Ltd,1517496.0,NYSE,USD,China,TECHNOLOGY,SERVICES-COMPUTER PROCESSING & DATA PREPARATION,December,160492000.0,,,,2.5580000000000003,0.0,0.0,-0.968,23.94,-0.0404,-0.0234,-0.096,-0.402,1622933000.0,5461000.0,-0.968,0.0,95.17,,-,-,0.0989,0.641,0.0794,-,2.197,14.65,1.09,2.115,5.41,71014000.0,,,
REXR,2022-03-31,Common Stock,Rexford Inl Rty,1571283.0,NYSE,USD,USA,REAL ESTATE & CONSTRUCTION,REAL ESTATE INVESTMENT TRUSTS,December,11013102000.0,305296000.0,73.19,9.31,29.94,1.035,0.0195,0.885,3.366,0.296,0.3339999999999999,0.0167,0.0342,493227000.0,344517000.0,0.885,0.4270000000000001,0.411,87.71,73.19,-,22.33,2.128,24.59,34.35,0.711,84.68,55.44,72.53,69.53,165021000.0,2022-07-15,2022-06-29,
VCSA,2022-03-31,Common Stock,Vacasa Inc,1874944.0,NASDAQ,USD,USA,TRADE & SERVICES,SERVICES-TO DWELLINGS & OTHER BUILDINGS,December,1743012000.0,8201000.0,,,,0.0,0.0,-0.182,4.489,-0.16,-0.146,-0.072,-0.288,1006900000.0,448305000.0,-0.182,3.023,0.911,10.2,-,-,1.731,-,0.593,-,,11.0,3.885,6.5,8.16,214858000.0,,,
VIRT,2022-03-31,Common Stock,Virtu Financial Inc,1592386.0,NASDAQ,USD,USA,FINANCE,"SECURITY BROKERS, DEALERS & FLOTATION COMPANIES",December,4467586000.0,,8.73,-9.42,13.05,0.96,0.0377,2.934,19.5,0.157,0.35,0.0528,0.33,2226432000.0,1536451000.0,2.934,-0.481,-0.368,38.5,8.73,7.01,2.007,1.986,2.946,7.61,-0.212,38.28,22.41,31.47,29.4,105336000.0,2022-06-15,2022-05-31,
BLEUW,2021-03-31,Common Stock,bleuacacia ltd Warrants,1843370.0,NASDAQ,USD,USA,REAL ESTATE & CONSTRUCTION,BLANK CHECKS,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-,-,-,-,-,-,,0.5,0.1119999999999999,0.0,0.0,0.0,,,5.0
VERI,2022-03-31,Common Stock,Veritone Inc,1615165.0,NASDAQ,USD,USA,TECHNOLOGY,SERVICES-COMPUTER PROCESSING & DATA PREPARATION,December,272313000.0,-58803000.0,,-0.07,1.5530000000000002,0.0,0.0,-2.006,3.851,-0.521,-0.3229999999999999,-0.0803,-0.966,131417000.0,93176000.0,-2.006,0.0,0.8809999999999999,17.13,-,34.84,2.072,5.22,1.905,-,3.167,37.14,7.14,12.35,19.24,36067900.0,,,
SUAC,2022-03-31,Common Stock,ShoulderUP Technology Acquisition Corp,1885461.0,NYSE,USD,USA,REAL ESTATE & CONSTRUCTION,BLANK CHECKS,December,415492000.0,,,,0.002,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-,-,-,-,-,-,,10.26,9.8,9.91,9.88,31350000.0,,,
WLYB,2022-01-31,Common Stock,John Wiley & Sons B,107140.0,NYSE,USD,USA,MANUFACTURING,BOOKS: PUBLISHING OR PUBLISHING & PRINTING,April,2976432000.0,345073000.0,20.46,1.85,20.1,1.3769999999999998,0.026,2.59,37.16,0.0707,0.113,0.0431,0.134,2073527000.0,1373166000.0,2.59,0.615,0.068,,20.46,11.93,1.435,2.625,1.843,8.63,0.784,62.77,48.58,52.76,53.53,9040500.0,2022-04-20,2022-04-04,
LMB,2022-03-31,Common Stock,Limbach Holdings Inc,1606163.0,NASDAQ,USD,USA,REAL ESTATE & CONSTRUCTION,CONSTRUCTION - SPECIAL TRADE CONTRACTORS,December,67646000.0,19732000.0,9.12,0.675,8.33,0.0,0.0,0.7120000000000001,47.69,0.0152,0.0269,0.0307,0.0914,491829000.0,85910000.0,0.7120000000000001,7.69,0.013,16.5,9.12,8.1,0.138,0.69,0.219,5.69,1.22,10.18,5.1,6.34,7.26,10423100.0,,,
ESSCU,2022-03-31,Common Stock,East Stone Acquisition Corp,1760683.0,NASDAQ,USD,USA,TECHNOLOGY,"SERVICES-COMPUTER PROGRAMMING, DATA PROCESSING, ETC.",June,,,,,0.282,0.0,0.0,-0.291,0.0,0.0,0.0,-0.0149,-0.0692,0.0,0.0,-0.291,9849.5,0.0,,-,-,-,-,-,-,0.183,20.03,10.33,11.17,11.38,0.0,,,5.0
NS,2022-03-31,Common Stock,NuStar Energy LP,1110805.0,NYSE,USD,USA,ENERGY & TRANSPORTATION,PIPE LINES (NO NATURAL GAS),December,1812278000.0,706621000.0,,2.29,1.505,1.6,0.0965,-1.26,15.19,0.005,0.263,0.0508,0.005,1666717000.0,809009000.0,-1.26,-0.638,0.133,18.83,-,10.76,1.087,1.766,2.876,9.81,2.122,18.74,12.87,15.25,15.74,110303000.0,2022-05-13,2022-05-06,
